Question,Answer
"Dalam hal pindah KPP, apakah nomor seri Faktur Pajak yang diterima di KPP lama masih bisa digunakan?","Sesuai dengan Pasal 11 ayat (2) Peraturan Direktur Jenderal Pajak Nomor PER-24/PJ/2012 bahwa untuk Pengusaha Kena Pajak (PKP) yang pindah Kantor Pelayanan Pajak (KPP), PKP masih dapat menggunakan nomor seri Faktur Pajak yang belum digunakan yang telah diterima dari KPP lama.
Namun demikian, PKP harus mengajukan permohonan kode aktivasi dan password baru ke KPP baru dengan menunjukkan asli pemberitahuan kode aktivasi dari KPP sebelumnya. Untuk pengajuan permintaan Nomor Seri Faktur Pajak berikutnya, PKP harus menggunakan kode aktivasi dan password baru yang diberikan oleh KPP baru."
Setelah menggunakan e-Faktur apakaah ke depan dalam proses pemeriksaan masih diminta menyampaikan hardcopy?,"Kedepan dalam proses pemeriksaan pajak, tidak diperlukan lagi hardcopy e-Faktur, mengingat data faktur tersebut sudah berada di Direktorat Jenderal Pajak (DJP). Namun demikian terhadap dokumen pendukung transaksi lainnya masih dimungkinkan untuk ditunjukkan dalam proses pemeriksaan."
Bagaimana pengkreditan Pajak Masukan oleh PKP yang belum menggunakan e-Faktur atas transaksi oleh Penjual yang menggunakan e-Faktur?,"Pengusaha Kena Pajak (PKP) pembeli yang menerima e-Faktur dapat dikreditkan sesuai dengan ketentuan yang berlaku, dalam hal menghendaki untuk dicetak, maka softcopy e-Faktur dapat dicetak sesuai dengan kebutuhan."
Bagaimana melakukan filter atas Faktur Pajak yang sudah dilaporkan dalam SPT Masa PPN satu masa tertentu dengan Faktur Pajak yang belum dilaporkan pada pada masa tersebut?,"Pengusaha Kena Pajak (PKP) dapat mengetahuinya Faktur Pajak yang sudah dilaporkan atau belum pada satu masa tertentu daricut off postingSPT Masa PPN.
Faktur-faktur yang tanggal approvalnya diperoleh sebelum tanggal posting merupakan Faktur-faktur yang sudah dilaporkan dalam satu masa tertentu, sedangkan Faktur-faktur yang tanggal approval diperoleh setelah tanggal posting merupakan faktur-faktur yang belum dilaporkan dalam satu masa tertentu."
Apakah pelaporan SPT PPN harus menggunakan aplikasi pembuatan SPT di e-Faktur?,"Pengusaha Kena Pajak (PKP) yang menggunakan aplikasi e-Faktur wajib membuat SPT melalui aplikasi e-Faktur. Melalui aplikasi ST pada aplikasi e-Faktur PKP dapat membuat SPT Masa PPN menggunakan data input Faktur Pajak dan Dokumen Lainnya, melengkapi formulir SPT yang sudah terbentuk da membuat file CSV yang sama dengan bentuk SPT Masa PPN 1111 untuk pelaporan ke Kantor Pelayanan Pajak (KPP).
Kedepannya direncakan PKP pengguna e-Faktur dapat melaporkan SPT Masa PPN langsung upload ke Direktorat Jenderal Pajak (DJP) tanpa harus datang ke KPP."
Bagaimana dengan PEB dan PIB di aplikasi e-Faktur?,"Untuk PEB dan PIB dapat diinput dengan aplikasi e-Faktur untuk keperluan administrasi SPT Masa PPN, akan tetapi tidak diperlukan di upload untuk PEB dan PIB."
"Kami selama ini PKP yang menerbitkan dokumen yang dipersamakan dengan Faktur Pajak sesuai PER-10/PJ/2010, apakah kami tetap harus menggunakan aplikasi e-Faktur??","Atas  dokumen yang dipersamakan dengan Faktur Pajak tetap harus direkam atau diinput melalui “Menu Dokumen Lainnya” dalam aplikasi untuk keperluan pelaporan SPT Masa PPN. Namun dokumen yang dipersamakan dengan Faktur Pajak tersebut tidak perlu diupload.
Dokumen yang dipersamakan dengan Faktur Pajak dapat direkam melalui mekanisme input data di Aplikasi e-Faktur atau dengan melakukan “impor” data dari sistem yang digunakan masing-masing Kantor Pelayanan Pajak (KPP) ke Aplikasi e-Faktur."
Apakah pedagang eceran menggunakan e-Faktur?,"Kewajiban pembuatan e-Faktur dikecualikan atas penyerahan Barang Kena Pajak dan/atau Jasa Kena Pajak yang dilakukan oleh pedagang eceran sebagaimana dimaksud dalam Pasal 20 Peraturan Pemerintah Nomor 1 Tahun 2012.
Ketentuan pembuatan Faktur Pajak oleh pedagang eceran mengikuti ketentuan sebagaimana diatur dalam Peraturan Direktur Jenderal Pajak Nomor PER-58/PJ/2010.Namun demikian, perlu dipastikan bahwa pedagang eceran yang bersangkutan telah memenuhi kriteria sebagai pedagang eceran sebagaimana diatur dalam Pasal 20 Peraturan Pemerintah Nomor 1 Tahun 2012."
Apakah admin/perekam bisa di ubah atau dihapus?,"Data Admin/Perekam dalam aplikasi e-Faktur tidak dapat dihapus, karena telah tercatat dalam data history dalam database e-Faktur. Dalam hal Login Admin/Perekam sudah tidak diperlukan lagi, misalnya pegawai yang bersangkutan telah pindah, maka Admin Utama atau Admin di atasnya dapat mengubah password Admin/Perekam yang bersangkutan sehingga tidak dimanfaatkan/disalahgunakan oleh pihak yang tidak berwenang."
Berapa maksimal jumlah admin yang diperkenankan untuk mengupload e-Faktur?,"Tidak ada batas maksimal admin yang diperkenankan untuk mengupload e-Faktur, kembali kepada kontrol internal masing-masing perusahaan."
Penandatangan Faktur. Apakah seluruh admin e-Faktur dilaporkan ke KPP sebagai penandatangan Faktur Pajak?,Seluruh admin yang akan mengupload e-Faktur sehingga namanya tercantum dalam Faktur Pajak wajib didaftarkan ke Kantor Pelayanan Pajak (KPP) sebagai Penandatangan Faktur Pajak.
Apakah penandatangan Faktur Pajak boleh orang asing?,Orang asing boleh menandatangani Faktur Pajak dengan ketentuan telah dilaporkan kepada Kantor Pelayanan Pajak (KPP) tempat terdaftar dengan menyerahkan fotokopi paspor yang sudah dilegalisasi dari kedutaan besar negara yang bersangkutan di Indonesia.
Bagaimana menambah keterangan yang ada di e-Faktur?,"Dalam aplikasi e-Faktur terdapat kolom Referensi. Pada kolom referensi ini, Pengusaha Kena Pajak (PKP) dapat mengisi keterangan apa pun, seperti nomor Invoice komersial, keterangan nilai kurs, dan keterangan lainnya. Keterangan yang dicantumkan dalam kolom referensi ini bukan merupakan bagian dari kelengkapan Faktur Pajak."
"Apakah kode barang harus diisi, bagaimana jika tidak memiliki kode barang?","Harus diisi untuk memudahkan Pengusaha Kena Pajak (PKP) untuk membuat Faktur Pajak dengan barang yang sama. Dalam hal PKP tidak memiliki kode barang, maka dapat dikosongkan."
Belum ada satuan barang pada aplikasi e-Faktur?,Satuan barang diserahkan kepada masing-masing Pengusaha Kena Pajak (PKP). Dalam hal PKP ingin memberikan penjelasan lebih rinci dapat dituliskan pada kolom Referensi Faktur Pajak.
Mengapa PPN uang muka tidak langsung otomatis 10%?,"Fitur ini dibuka sesuai dengan permintaan beberapa Pengusaha Kena Pajak (PKP) sewaktu dilakukan piloting, dengan pertimbangan terdapat beberapa PKP yang menggunakan DPP Nilai lain. Sehingga jumlah uang muka tidak secara otomatis dikalikan 10%."
Apakah kurs bisa per item barang?,"Karena dalam e-Faktur menggunakan mata uang rupiah, dan pengisian DPP adalah masing-masing barang, sehingga dalam pengisian e-Faktur harus mengkonversi masing-masing barang ke mata uang Rupiah."
Apakah e-Faktur bisa menggunakan kurs/valuta asing?,"Dalam pengisian menggunakan e-Faktur harus dengan menggunakan mata uang rupiah. Oleh karena itu, dalam hal transaksi Pengusaha Kena Pajak (PKP) menggunakan mata uang asing harus di konversi menjadi mata uang Rupiah. Untuk menambahkan keterangan nilai dalam mata uang asing dan kurs KMK yang digunakan dalam FP, PKP dapat menambahkan dalam kolom referensi."
"Pembuatan e-Faktur untuk penyerahan yang menggunakan DPP Nilai Lain, khususnya untuk jasa tenaga kerja dan freight forwarding?","Untuk membuat e-Faktur yang menggunakan DPP Nilai lain adalah sebagai berikut:
1. E-Faktur ini sudah mengakomodasi atas transaksi yang penyerahannya menggunakan Nilai lain.
2. Kode transaksi yang digunakan adalah 04.
3. Dalam rekam transaksi, DPP diisi dengan menggunakan Nilai lain sesuai dengan ketentuan yang berlaku.
4. Klik “simpan” dan terakhir dilakukan upload."
Pembuatan dan pelaporan Faktur Pajak bagi PKP deemed?,"Kewajiban pembuatan e-Faktur  dikecualikan atas penyerahan BKP dan atau JKP:
1. yang dilakukan oleh pedagang eceran sebagaimana dimaksud dalam Pasal 20 PP Nomor 1 Tahun 2012;
2. yang dilakukan oleh Pengusaha Kena Pajak (PKP) Toko Retail kepada orang pribadi pemegang paspor luar negeri sebagaimana dimaksud dalam Pasal 16E UU PPN; dan
3. yang bukti pungutan PPNnya berupa dokumen tertentu yang kedudukannya dipersamakan dengan Faktur Pajak sebagaimana dimaksud dalam Pasal 13 ayat (6) UU PPN.
Dalam hal PKP deemed tidak memenuhi kriteria di atas, maka wajib membuat e faktur dan untuk pelaporan SPT menngunakan SPT Masa PPN 1111DM"
Input retur sebelum e-Faktur?,"Secara ketentuan:
1. Nota retur atau Nota pembatalan harus dibuat pada saat BKP dikembalikan atau JKP dibatalkan
2. Bagi Pengusaha Kena Pajak (PKP) penjual BKP atau pemberi JKP, Nota retur atau Nota pembatalan dilaporkan di Masa Pajak saat Nota retur atau Nota pembatalan tersebut diterima
Secara aplikasi:
Bisa diterima dan diupload dengan keterangan dengan status approval “Faktur Pajak bukan e-Tax”"
Apakah Nota Retur bisa diprint menggunakan aplikasi e-Faktur?,"Informasi tentang ""Apakah Nota Retur bisa diprint menggunakan aplikasi e-Faktur?"" mengandung daftar kombinasi (bernomor dan bullet). Silakan baca langsung di: https://pajak.go.id/id/57-apakah-nota-retur-bisa-diprint-menggunakan-aplikasi-e-faktur"
"Apabila terjadi kesalahan tulis Kode Faktur, apakah dibuatkan Faktur Pajak pengganti atau dibatalkan?","Salah tulis kode transaksi termasuk dalam kategori salah dalam pengisian, atau salah dalam penulisan.Atas kesalahan dalam penulisan kode transaksi tersebut, maka Pengusaha Kena Pajak (PKP) dapat membuat e-Faktur pengganti melalui aplikasi atau sistem elektronik yang ditentukan dan/atau disediakan Direktorat Jenderal Pajak (DJP)."
Faktur Pajak pengganti apakah perlu dicap?,"Mengingat bahwa bentuk e-Faktur maupun Faktur Pajak penggantinya adalah berupa dokumen elektronik Faktur Pajak, yang merupakan hasil keluaran (output) dari aplikasi atau sistem elektronik yang ditentukan dan/atau disediakan oleh Direktorat Jenderal Pajak (DJP), maka atas Faktur Pajak pengganti tersebut tidak perlu dicap dengan mencantumkan “Kode dan Nomor Seri Faktur Pajak serta tanggal Faktur Pajak yang diganti”."
Faktur Pajak Pengganti atas Faktur Pajak di Masa sebelum menggunakan e-Faktur?,"Dalam hal Faktur pajak yang diganti adalah Faktur Pajak sebelum e-Faktur, maka berlaku ketentuan sbb:
1. Pengusaha Kena Pajak (PKP) membuat Faktur Pajak Pengganti terhadap Faktur Pajak yang rusak, salah dalam pengisian, atau salah dalam penulisan.
2. Faktur Pajak Pengganti tetap menggunakan Nomor Seri Faktur Pajak (NSFP) yang sama dengan NSFP yang diganti.
3. Penerbitan Faktur Pajak Pengganti mengakibatkan adanya kewajiban untuk membetulkan Surat Pemberitahuan Masa Pajak Pertambahan Nilai pada Masa Pajak terjadinya kesalahan pembuatan Faktur Pajak tersebut."
Apa perbedaan Faktur Pajak Pengganti dengan Pembatalan Faktur Pajak?,"Informasi tentang ""Apa perbedaan Faktur Pajak Pengganti dengan Pembatalan Faktur Pajak?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/53-apa-perbedaan-faktur-pajak-pengganti-dengan-pembatalan-faktur-pajak"
"Faktur Pajak Pengganti, input harga dsb bagaimana penggantiannya?","Informasi tentang ""Faktur Pajak Pengganti, input harga dsb bagaimana penggantiannya?"" mengandung daftar kombinasi (bernomor dan bullet). Silakan baca langsung di: https://pajak.go.id/id/52-faktur-pajak-pengganti-input-harga-dsb-bagaimana-penggantiannya"
"Pada aplikasi e-Faktur terdapat beberapa password, bagaimana tips untuk mengingatnya?","Informasi tentang ""Pada aplikasi e-Faktur terdapat beberapa password, bagaimana tips untuk mengingatnya?"" mengandung daftar kombinasi (bernomor dan bullet). Silakan baca langsung di: https://pajak.go.id/id/51-pada-aplikasi-e-faktur-terdapat-beberapa-password-bagaimana-tips-untuk-mengingatnya"
Apa yang dimaksud dengan QR code pada e-faktur dan apa fungsinya?,Kode ini berfungsi sebagai pengaman e-Faktur. Untuk verifikasi kode ini dapat dilakukan dengan cara memindai QR Code melalui handphone yang memiliki fitur yang mendukung.
Apakah e-Faktur boleh ditandatangani secara basah apabila konsumen menghendakinya?,"e-Faktur ditandatangani secara elektronik sehingga tidak memerlukan lagi tanda tangan basah. Namun demikian, apabila konsumen masih menginginkan cetakan e-Faktur untuk ditandatangani secara basah maka hal ini dipersilahkan."
Apakah lampiran e-Faktur yang memuat detil penyerahan diperkenankan untuk tidak input di aplikasi tetapi dengan dengan cara dilampirkan pada cetakan e-Faktur seperti yang selama ini dilakukan pada Faktur Pajak kertas?,"e-Faktur harus diisi dengan jelas, lengkap, dan benar sesuai dengan keadaan yang sebenarnya sehingga detil data dan informasi (lampiran) terkait dengan penyerahan BKP/JKP harus diinput kedalam e-Faktur. Oleh sebab itu, lampiran (detil) mengenai penyerahan BKP/JKP tidak diperkenankan dalam bentuk lampiran (merujuk pada lampiran tertentu)."
Apakah faktur komersial dapat merangkap/berfungsi juga sebagai e-Faktur sebagaimana yang selama ini dilakukan pada Faktur Pajak kertas?,"Dalam rezim Faktur Pajak kertas, bentuk/tampilan/format Faktur Pajak tidak ditentukan sehingga faktur komersial dapat difungsikan sebagai Faktur Pajak sepanjang informasi yang termuat memenuhi syarat sebagaimana diatur dalam Pasal 13 ayat (5) UU PPN.
Namun dalam e-Faktur, bentuk, tampilan, dan format cetakan e-Faktur ditentukan sesuai dengan output dari aplikasi e-Faktur sehingga faktur komersial yang merupakan output dari system di luar e-Faktur tidak dapat difungsikan/merangkap sebagai Faktur Pajak."
Apakah aplikasi e-Faktur mempunyai fitur yang dapat dimanfaatkan untuk melakukan pengolahan data Faktur Pajak yang sesuai dengan kebutuhan perusahaan terkait data Faktur Pajak yang dihasilkan oleh e-Faktur?,Aplikasi e-Faktur dilengkapi dengan fitur Filter Data (F4) untuk mencari dan menampilkan data sesuai dengan kebutuhan. Melalui fitur Filter Data (F4) ini user dapat melakukan berbagai kombinasi untuk menampilkan data yang dapat dimanfaatkan untuk melakukan pengolahan data sesuai dengan kebutuhan.
Bagaimana pengisian di e-Faktur terkait uang muka yang belum diketahui jumlah dan harga barang yang akan diserahkan?,"Uang muka yang belum diketahui jumlah dan harganya, maka pengisian di e-Faktur dapat dilakukan sebagai berikut:
- Dasar Pengenaan Pajak (DPP) dan PPN diisi sesuai dengan jumlah uang muka yang diterima;
- Nama dan jenis barang dapat diisi dengan rencana barang/jasa yang akan diserahkan."
"Apakah diskon dapat diberikan atas keseluruhan Faktur, tidak per item barang. Bagaimana teknisnya?","Dalam aplikasi e-Faktur, diskon hanya dapat diberikan atas per item barang."
"Apakah harga satuan, DPP, PPN pada e-Faktur dapat bernilai 0 (nol)?","Pada aplikasi e-Faktur, Harga Satuan, Dasar Pengenaan Pajak (DPP), dan PPN dapat bernilai 0 (nol). Namun demikian, Pengusaha Kena Pajak (PKP) perlu memastikan pertimbangan pencantuman nilai 0 tersebut dalam Faktur Pajak. Sebagai contoh, dalam transaksi Pemberian Cuma-Cuma meskipun tidak terjadi pembayaran, DPP PPN adalah sebesar Harga Pokok Penjualan dan PPN-nya adalah 10% x DPP."
Apakah aplikasi e-Faktur sudah mengakomodasi pengkreditan masa pajak yang tidak sama pada pembuatan SPT PPN?,"Bahwa aplikasi e-Faktur merupakan aplikasi untuk membuat Faktur Pajak sekaligus untuk membuat SPT Masa PPN. Pada fitur pembuatan SPT PPN, aplikasi e-Faktur telah mengakomodasipengkreditan Faktur Pajak Masukan dalam Masa yang tidak sama, yaitu paling lama 3 (tiga) bulan setelah masa pajak yang bersangkutan."
Bagaimana cara pembuatan e-Faktur jika pembelinya tidak ber NPWP?,"Dalam hal pembeli tidak ber-NPWP, maka pengisian Nomor Pokok Wajib Pajak (NPWP) Pembeli dalam aplikasi e-Faktur diisi dengan angka 00.000.000.0-000.000"
Apakah tanggal SSP PPN Jasa Luar negeri harus sama dengan masa pelaporan?,"Berdasarkan PMK 40/PMK.03/2010, diatur bahwa:
- PPN terutang atas pemanfaatan JKP/BKP Tidak Berwujud dari luar Daerah Pabean wajib disetor paling lambat tanggal 15 bulan berikutnya setelah saat terutangnya pajak;
- Surat Setoran Pajak (SSP) atas penyetoran PPN tersebut dilaporkan di Masa Pajak saat terutangnya pajak.
Dengan demikian, saat penyetoran SSP Jasa Luar negeri dapat berbeda dengan masa pelaporan."
Apakah Nomor Seri Faktur diperkenankan tidak urut?,"Penggunaan Nomor Seri Faktur Pajak tidak harus berurutan. Namun demikian, Pengusaha Kena Pajak (PKP) wajib menyampaikan pemberitahuan ke KPP atas Nomor Seri Faktur Pajak yang tidak digunakan dalam satu tahun pajak."
Apakah tanggal Faktur Pajak diperkenankan lebih dulu dari tanggal surat pemberian Nomor Seri Faktur Pajak?,"Tanggal Faktur Pajak tidak diperkenankan mendahului (lebih dulu) dari tanggal surat pemberian Nomor Seri Faktur Pajak (NSFP) yang NSFPnya digunakan dalam Faktur Pajak tersebut.
Sesuai dengan Pasal 1 angka 8 dan angka 9 Peraturan Direktur Jenderal Pajak Nomor PER-24/PJ/2012 dan perubahannya, Faktur Pajak dengan tanggal mendahului (sebelum) tanggal surat pemberian NSFP merupakan Faktur Pajak yang mencantumkan keterangan yang tidak sebenarnya atau tidak sesungguhnya, sehingga merupakan Faktur Pajak Tidak Lengkap."
Bagaimana jika PKP lupa password dan passphrase?,"Apabila Pengusaha Kena Pajak (PKP) lupa password, PKP dapat melakukan reset password melalui Akun PKP, dengan cara sebagai berikut:
- Membuka akun PKP melalui web:https://efaktur.pajak.go.id/login
- Klik link lupa Password? pada halaman login
- Masukkan username berupa NPWP 15 digit dan email utama.
- Klik tombol Reset Password.
- Jika NPWP 15 dan email utama tidak valid maka system akan menampilkan informasi kesalahan.
- Jika NPWP 15 dan email utama valid maka system akan mengirimkanpassword baru ke email tersebut.
Selanjutnya, PKP dapat mengubah password melalui Akun PKP tersebut, sehingga lebih mudah diingat oleh PKP yang bersangkutan.
Apabila PKP lupa passphrase atas sertifikat elektronik, maka PKP dapat melakukan pencabutan (revoke) Sertifikat Elektronik dan mengajukan Sertifikat Elektronik yang baru sesuai tata cara sebagaimana diatur dalam Lampiran VI SE-20/PJ/2014.
Link PDF: https://efaktur.pajak.go.id/login"
"Jika jaringan internet offline atau aplikasi e-Faktur tidak dapat diakses, apa yang harus dilakukan PKP dalam menerbitkan Faktur?","Pembuatan e-Faktur harus terhubung dengan jaringan internet pada saat melakukan upload. Dalam hal internet offline atau terdapat kendala teknis dengan jaringan Direktorat Jenderal Pajak (DJP), maka Pengusaha Kena Pajak (PKP) dapat menunda sementara kegiatan upload Faktur Pajak."
"Jika data e-Faktur hilang, apa yang harus dilakukan oleh PKP?","Dalam hal Pengusaha Kena Pajak (PKP) mengalami kendala teknis yang menyebabkan data e-Faktur rusak atau hilang, PKP dapat mengajukan permintaan data e-Faktur terbatas pada data e-Faktur yang telah diunggah (upload) ke Direktorat Jenderal Pajak (DJP) melalui Kantor Pelayanan Pajak (KPP) tempat PKP dikukuhkan."
"Dalam keadaan tertentu, apakah PKP diperkenankan meminta database e-Faktur yang telah dibuat ke DJP?","Dalam hal Pengusaha Kena Pajak (PKP) mengalami kendala teknis yang menyebabkan data e-Faktur rusak atau hilang, PKP dapat mengajukan permintaan data e-Faktur terbatas pada data e-Faktur yang telah diunggah (upload) ke Direktorat Jenderal Pajak (DJP) melalui Kantor Pelayanan Pajak (KPP) tempat PKP dikukuhkan."
Bagaimana jika data e-Faktur yang dimiliki PKP berbeda dengan data yang ada di DJP?,"Data/keterangan pada e-Faktur yang telah diberikan persetujuan oleh Direktorat Jenderal Pajak (DJP) adalah sama dengan data yang dimiliki oleh DJP. Untuk itu, agar dipastikan keterangan fisik yang ada di cetakan e-Faktur sama dengan QR Code yang ada pada e-Faktur.
Tips untuk pembeli/penerima eFaktur, silahkan untuk discan QR Code menggunakan smartphone yangcompatible."
"Apabila pada proses upload terjadi kendala teknis, misal internet terputus atau listrik mati, apakah e-Faktur memberikan informasi Faktur Pajak mana saja yang berhasil di upload?","Pada bagian administrasi Faktur (baik masukan maupun keluaran) terdapat kolom status approval. Kolom ini menjelaskan status approval:
1. Belum Approve (untuk Faktur Pajak yang belum di-upload/dilaporkan ke Direktorat Jenderal Pajak, DJP)
2. Siap Approve (untuk Faktur Pajak yang sudah diupload (tidak dapat diubah), menunggu dilakukannya start uploader pada menu management upload-upload faktur)
3. Approval Sukses (menunjukkan Faktur Pajak yang telah dilaporkan dan memperoleh persetujuan DJP)
4. Reject (menunjukkan Faktur Pajak yang ditolak sistem disebabkan hal tertentu misal Nomor seri Faktur Pajak bukan jatah Pengusaha Kena Pajak, PKP)
5. Bukan Faktur e-Tax (merupakan status Approval khusus untuk Pajak Masukan yang diperoleh dari PKP yang belum menggunakan e-Faktur)"
Apakah upload e-Faktur hanya dilakukan pada jam kerja kantor dan harus terkoneksi dengan internet setiap saat?,"Upload e-Faktur dapat dilakukan 24 jam dan tidak terbatas pada jam kerja kantor. Sedangkan Jaringan internet diperlukan hanya pada saat:
- Registrasi aplikasi e-Faktur saat pertama kali;
- Autoupdate aplikasi e-Faktur;
- Upload data e-Faktur;
- Sinkronisasi data profil Pengusaha Kena Pajak (PKP, dalam hal terdapat perubahan data PKP Penjual. Misal: nama atau alamat berubah).
Catatan:Perlu diperhatikan bahwa dalam aplikasi e-Faktur terdapat fitur “uploader“ (fitur koneksi ke sistem DJP). Fitur ini aktif selama 6 jam dari aktivitas upload terakhir. Contoh: upload pukul 09.00, uploader akan terhenti pada pukul 15.00 dalam hal tidak ada aktivitas upload."
Apakah ada batas waktu melakukan pelaporan/upload eFaktur?,"Sesuai dengan PER-16/PJ/2014, batas waktu pelaporan/upload e-Faktur ke Direktorat Jenderal Pajak (DJP) tidak diatur. Namun demikian sesuai dengan proses bisnis perusahaan yang lazim, Pembeli akan meminta Faktur Pajak sesegera mungkin.
Untuk menghindari adanya transaksi/penyerahan BKP/JKP yang lupa tidak dilaporkan/upload ke DJP yang dapat mengakibatkan dikenakannya sanksi perpajakan yang berlaku, diminta untuk sesegera mungkin melakukan pelaporan/upload e-Faktur tersebut."
Apakah e-Faktur yang sudah mendapat approval merupakan Faktur Pajak yang sah?,"Ya, e-Faktur yang telah memperoleh persetujuan dari Direktorat Jenderal Pajak (DJP) merupakan Faktur Pajak yang sah proses penerbitannya. Dalam hal keterangan yang tercantum pada e-Faktur merupakan keterangan yang tidak sebenarnya atau tidak sesungguhnya maka e-Faktur tersebut tidak memenuhi kriteria lagi sebagai Faktur Pajak yang sah.
Berdasarkan PER-16/PJ/2014 telah diatur bahwa e-Faktur yang tidak memperoleh persetujuan dari DJP bukan merupakan Faktur Pajak."
"Dalam proses approval, apa saja yang dicek oleh DJP?","Direktorat Jenderal Pajak (DJP) akan melakukan pengecekan, meliputi:
1. NPWP (apakah NPWP penerbit Faktur atau NPWP lawan transaksi penerbit Faktur valid)
2. Status PKP (Apakah Penerbit Faktur merupakan PKP pada saat tanggal Faktur Pajak diterbitkan dan Apakah PKP yang menerbitkan Faktur merupakan PKP yang wajib menerbitkan e-Faktur)
3. Nomor Seri Faktur Pajak (NSFP, Apakah Nomor Seri yang tertera di Faktur Pajak benar merupakan jatah nomor seri penerbit Faktur Pajak dan Apakah tanggal Faktur Pajak tidak kurang dari/sebelum tanggal Pemberitahuan NSFP dari DJP)"
Pada pembuatan Faktur Pajak elektronik ada mekanisme pelaporan ke DJP/upload ke sistem DJP untuk memperoleh persetujuan/ approval. Apa saja yang harus dimintakan approval pada aplikasi e-Faktur?,"Pada prinsipnya yang perlu dimintakan approval Direktorat Jenderal Pajak (DJP) adalah atas:
- Faktur Pajak Keluaran; dan
- Faktur Pajak Masukan
- Faktur Pajak Pengganti,
- Pembatalan Faktur Pajak Keluaran,
- Perekaman Retur Pajak Keluaran
- Pembatalan Faktur Pajak,
- Pembuatan Retur Pajak Masukan"
"Apabila jumlah halaman e-Faktur lebih dari satu, apakah di setiap halaman ada QR Code-nya?","Tidak, QR Code hanya muncul pada halaman terakhir setelah tempat dan tanggal Faktur Pajak serta Nama yang berhak menandatangani Faktur Pajak. QR Code berisi data Faktur yang telah memperoleh persetujuan dari DJP yakni nomor Faktur, Alamat dan NPWP Penjual dan Pembeli, harga satuan, jumlah barang, harga total, DPP, PPN dan PPnBM."
Terdapat beberapa ketentuan pembuatan Faktur Pajak harus menggunakan stempel. Apakah hal tersebut sudah tersedia di aplikasi e-Faktur?,"Ya, aplikasi e-Faktur sudah menyediakan fitur untuk transaksi tertentu yang memerlukan stempel pada faktur pajak. Pengusaha Kena Pajak (PKP) tinggal memilih kode transaksi yang sesuai dengan ketentuan.
Contoh:Pada saat PKP menginput data transaksi pada aplikasi e-Faktur atas penyerahan dengan kode transaksi 07 atau 08 (penyerahan yang PPNnya mendapat fasilitas tidak dipungut atau PPN-nya dibebaskan), maka pada e-Faktur tersebut akan muncul stempel otomatis “PPN DIBEBASKAN SESUAI PP Nomor...” atau “PPN dan PPnBM TIDAK DIPUNGUT”. (format stempel telah mengikuti ketentuan yang berlaku)"
Apakah dalam satu komputer dapat digunakan untuk aplikasi e-Faktur beberapa Pengusaha Kena Pajak?,"Pada prinsipnya 1 (satu) komputer dapat digunakan untuk menjalankan beberapa aplikasi e-Faktur namun demikian untuk keamanan data transaksi dan kenyamanan aplikasi,tidak disarankanuntuk menggunakan beberapa aplikasi e-Faktur dalam 1 komputer."
Apakah 1 (satu) aplikasi e-Faktur dapat digunakan untuk beberapa PKP?,Bahwa 1 (satu) Sertifikat Elektronik diberikan untuk 1 (satu) PKP dan 1 (satu) Sertifikat Elektronik digunakan untuk 1 (satu) aplikasi e-Faktur sehingga 1 (satu) aplikasi e-Fakturtidak dapatdigunakan untuk beberapa PKP.
Bagaimana pembuatan e-Faktur oleh Cabang yang telah dilakukan Pemusatan tempat terutang PPN?,"Jawaban untuk ""Bagaimana pembuatan e-Faktur oleh Cabang yang telah dilakukan Pemusatan tempat terutang PPN?"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/22-bagaimana-pembuatan-e-faktur-oleh-cabang-yang-telah-dilakukan-pemusatan-tempat-terutang-ppn"
Faktur Pajak Gabungan apakah masih diperkenankan di e-Faktur?,"Ya, Faktur Pajak Gabungan masih diperkenankan dengan menggunakan aplikasi e-Faktur. Yang perlu diperhatikan adalah Faktur Pajak Gabungan digunakan untuk penyerahan kepada pembeli yang sama dalam satu bulan."
Apakah e-Faktur masih perlu dibuat rangkap 2 (dua)?,"e-Faktur tidak perlu dibuat rangkap 2 (dua) karena e-Faktur berbentuk elektronik, sehingga tidak diwajibkan untuk dicetak dalam bentuk kertas. Namun demikian dalam hal diperlukan cetakan kertas baik oleh pihak penjual dan/atau pihak pembeli, e-Faktur dapat dicetak sesuai dengan kebutuhan."
Apakah e-Faktur boleh dicetak di kertas perusahaan yang telah ada logonya?,Ya. e-Faktur berbentuk elektronik dalam format file PDF namun dalam hal Pengusaha Kena Pajak (PKP) membutuhkan e-Faktur untuk dicetak maka file e-Faktur berbentuk PDF tersebut dapat dicetak menggunakan kertas perusahaan yang telah ada logonya dan e-Faktur yang dicetak di atas kertas tersebut tetap berfungsi sebagai Faktur Pajak.
